Date time,CoolAir 1 – External,CoolAir 1 - External RH,CoolAir 1 - Internal,CoolAir 1 – Internal RH,CoolAir 1 – Air On,CoolAir 1 – Air On RH,CoolAir 1 – Free Air Damper (%),CoolAir 2 – External,CoolAir 2 – External RH,CoolAir 2 – Internal,CoolAir 2 – Internal RH,CoolAir 2 – Air On,CoolAir 2 – Air On RH,CoolAir 2 – Free Air Damper (%)
01/03/2014 00:15,5,"95,07","22,85","27,85","14,63","51,77","78,8","5,06","95,16","26,3","22,05","11,97","57,86","76,33"
01/03/2014 00:30,"4,86","95,47","22,87","27,59","14,49","53,11","78,93","4,93","95,46","26,34","21,9","11,9","57,95","74,67"
01/03/2014 00:45,"4,81","95,71","22,75","27,87","14,65","52,1","78,93","4,86","95,71","26,16","22,11","13,51","52,05","70,67"
01/03/2014 01:00,"4,97","95,69","22,91","27,86","14,59","52,36","79,13","5,01","95,9","26,24","22,22","13,53","53,07","69,07"
01/03/2014 01:15,"5,01","95,32","22,85",28,"14,65","50,87","78,47","5,04","95,63","26,45","21,92","13,85","51,45","70,07"
01/03/2014 01:30,"4,98","95,19","22,79","27,96","14,63","52,51","79,56","5,04","95,6","26,79","21,43","13,57","52,76","70,19"
01/03/2014 01:45,"4,76","95,56","22,68","27,78","14,59","52,04","78,94","4,84","95,72","26,61","21,45","13,73","51,28","68,81"
01/03/2014 02:00,"4,63","95,99","22,81","27,43","14,58","50,48","79,27","4,7",96,"26,59","21,29","13,86","50,66","71,47"
01/03/2014 02:15,"4,68","96,15","22,77","27,64","14,63","50,31","78,47","4,72","96,17","26,77","21,17","13,59","52,26","70,47"
01/03/2014 02:30,"4,71","96,2","22,73","27,76","14,53","51,44","79,27","4,77","96,3","26,74","21,25","13,7","51,51","68,2"
01/03/2014 02:45,"4,72","96,37","22,85","27,69","14,67","50,36","78,47","4,78","96,46","26,83","21,19","13,85","51,19","71,33"
01/03/2014 03:00,"4,77","96,36","22,68","28,05","14,54","51,36","79,4","4,85","96,51","26,83","21,27","13,57","52,83","70,8"
01/03/2014 03:15,"4,83","96,33","22,73","28,04","14,72","50,79","78,8","4,9","96,55","26,88","21,33","13,75","51,65",69
01/03/2014 03:30,"4,87","96,21","22,82","27,93","14,57","51,49","79,47","4,91","96,53","26,9","21,29","13,81","51,75","72,2"
01/03/2014 03:45,"4,85","96,18","22,75","28,04","14,62","52,65","78,8","4,91","96,51","27,03","21,13","13,56","52,95","69,13"
01/03/2014 04:00,"4,9","96,15","22,79",28,"14,55","52,74","79,13","4,91","96,51","26,98","21,23","13,87","51,32","70,47"
01/03/2014 04:15,"4,84","96,14","22,82","27,89","14,67","51,47",79,"4,9","96,49","26,85","21,32","13,67","52,34","71,8"
01/03/2014 04:30,"4,81","96,27","22,85","27,79","14,53","51,33","78,93","4,9","96,53","26,99","21,09","13,63","52,13","68,07"
01/03/2014 04:45,"4,86","96,39","22,75","28,09","14,57","51,09","78,13","4,9","96,64","26,96","21,16","13,81","51,59","72,33"
