id,element,relativepos,type,label,active,label
70,12417,2,21,Outlet ,1,AHU 3
71,12417,7,26,Inlet ,1,AHU 3
72,12417,7,27,Inlet RH,1,AHU 3
73,12417,41,41,Current L1,1,AHU 3
74,12417,41,42,Current L2,1,AHU 3
75,12417,41,43,Current L3,1,AHU 3
76,12417,41,44,Voltage L1,1,AHU 3
77,12417,41,45,Voltage L2,1,AHU 3
78,12417,41,46,Voltage L3,1,AHU 3
79,12417,41,47,Power L1,1,AHU 3
80,12417,41,48,Power L2,1,AHU 3
81,12417,41,49,Power L3,1,AHU 3
82,12417,41,50,Apparent L1,1,AHU 3
83,12417,41,51,Apparent L2,1,AHU 3
84,12417,41,52,Apparent L3,1,AHU 3
85,12417,41,53,PF L1,1,AHU 3
86,12417,41,54,PF L2,1,AHU 3
87,12417,41,55,PF L3,1,AHU 3
88,12417,42,41,Current L1,1,AHU 3
89,12417,42,42,Current L2,1,AHU 3
90,12417,42,43,Current L3,1,AHU 3
91,12417,42,44,Voltage L1,1,AHU 3
92,12417,42,45,Voltage L2,1,AHU 3
93,12417,42,46,Voltage L3,1,AHU 3
94,12417,42,47,Power L1,1,AHU 3
95,12417,42,48,Power L2,1,AHU 3
96,12417,42,49,Power L3,1,AHU 3
97,12417,42,50,Apparent L1,1,AHU 3
98,12417,42,51,Apparent L2,1,AHU 3
99,12417,42,52,Apparent L3,1,AHU 3
100,12417,42,53,PF L1,1,AHU 3
101,12417,42,54,PF L2,1,AHU 3
102,12417,42,55,PF L3,1,AHU 3
103,12426,12,41,Current L1,1,PDU 3
104,12426,12,42,Current L2,1,PDU 3
105,12426,12,43,Current L3,1,PDU 3
106,12426,12,44,Voltage L1,1,PDU 3
107,12426,12,45,Voltage L2,1,PDU 3
108,12426,12,46,Voltage L3,1,PDU 3
109,12426,12,47,Power L1,1,PDU 3
110,12426,12,48,Power L2,1,PDU 3
111,12426,12,49,Power L3,1,PDU 3
112,12426,12,50,Apparent L1,1,PDU 3
113,12426,12,51,Apparent L2,1,PDU 3
114,12426,12,52,Apparent L3,1,PDU 3
115,12426,12,53,PF L1,1,PDU 3
116,12426,12,54,PF L2,1,PDU 3
117,12426,12,55,PF L3,1,PDU 3
118,12416,2,21,Outlet,1,AHU 4
119,12416,7,26,Inlet,1,AHU 4
120,12416,7,27,Inlet RH,1,AHU 4
199,12418,12,41,Current L1,1,AHU 1
200,12418,12,42,Current L2,1,AHU 1
201,12418,12,43,Current L3,1,AHU 1
202,12418,12,44,Voltage L1,1,AHU 1
203,12418,12,45,Voltage L2,1,AHU 1
204,12418,12,46,Voltage L3,1,AHU 1
205,12418,12,47,Power L1,1,AHU 1
206,12418,12,48,Power L2,1,AHU 1
207,12418,12,49,Power L3,1,AHU 1
208,12418,12,50,Apparent L1,1,AHU 1
209,12418,12,51,Apparent L2,1,AHU 1
210,12418,12,52,Apparent L3,1,AHU 1
211,12418,12,53,PF L1,1,AHU 1
212,12418,12,54,PF L2,1,AHU 1
213,12418,12,55,PF L3,1,AHU 1
214,12419,12,41,Current L1,1,AHU 2
215,12419,12,42,Current L2,1,AHU 2
216,12419,12,43,Current L3,1,AHU 2
217,12419,12,44,Voltage L1,1,AHU 2
218,12419,12,45,Voltage L2,1,AHU 2
219,12419,12,46,Voltage L3,1,AHU 2
220,12419,12,47,Power L1,1,AHU 2
221,12419,12,48,Power L2,1,AHU 2
222,12419,12,49,Power L3,1,AHU 2
223,12419,12,50,Apparent L1,1,AHU 2
224,12419,12,51,Apparent L2,1,AHU 2
225,12419,12,52,Apparent L3,1,AHU 2
226,12419,12,53,PF L1,1,AHU 2
227,12419,12,54,PF L2,1,AHU 2
228,12419,12,55,PF L3,1,AHU 2
229,12417,12,41,Current L1,1,AHU 3
230,12417,12,42,Current L2,1,AHU 3
231,12417,12,43,Current L3,1,AHU 3
