,Circuit 1,Circuit 1,Circuit 1,Circuit 1,Circuit 1,Circuit 1,Circuit 2,Circuit 2,Circuit 2,Circuit 2,Circuit 2,Circuit 2
Row Labels,Discharge 1,Liquid 1,Suction 1,Suction 1 Pressure (Bar),Discharge 1 Pressure (Bar),AHU 3 - C1,Discharge 2,Liquid 2,Suction 2,Suction 2 Pressure (Bar),Discharge 2 Pressure (Bar),AHU 3 - C2
01/03/2014 00:15,"27,54","21,2","21,26","8,28","10,11","1,82","68,99","21,07","19,19","3,64","17,81","11,1"
01/03/2014 00:30,"25,71","20,56","22,18","8,33","9,48","1,15","68,93","21,09","19,45","3,67","17,82","11,14"
01/03/2014 00:45,"27,01","20,89","21,29","8,04","10,3","2,42","68,9","20,71","19,25","3,61","17,69","11,06"
01/03/2014 01:00,"26,43","20,98","22,11","8,32","9,6","1,18","69,11","21,11","19,46","3,64","17,77","11,08"
01/03/2014 01:15,"28,64","21,49","21,34","8,16","10,57","2,4","68,78","20,73","19,14","3,65","17,73","11,05"
01/03/2014 01:30,"28,35","21,07","21,29","8,03","10,43","2,5","68,98","21,03","19,13","3,65","17,83","11,12"
01/03/2014 01:45,"26,66","20,83","21,73","8,38","9,71","1,19","68,95","20,89","19,25","3,61","17,73","11,08"
01/03/2014 02:00,"28,54","21,51","21,18","7,92","10,57","2,33","68,9","20,74","19,25","3,62","17,64","11,07"
01/03/2014 02:15,"26,65","21,09","21,76","8,38","10,09","1,93","69,01","20,7","19,21","3,61","17,73","11,08"
01/03/2014 02:30,"26,28","20,86","22,06","8,31","9,71","1,24","69,05","20,86","19,41","3,63","17,73","11,09"
01/03/2014 02:45,"29,38","21,44","20,84","7,73","11,14","3,55","68,86","20,48","19,09","3,6","17,59","11,03"
01/03/2014 03:00,"26,68","21,19","21,79","8,56","9,78","1,18","69,06","20,78","19,29","3,63","17,76","11,14"
01/03/2014 03:15,"27,36","20,84","22,08","8,24","9,98","1,26","69,17","20,95","19,4","3,64","17,74","11,12"
01/03/2014 03:30,"29,3","21,41","20,65","7,91","10,8","3,01","68,91","20,49","19,01","3,59","17,59","11,02"
01/03/2014 03:45,"28,21","20,83","21,06","8,17","10,33","1,76","68,7","21,15","18,85","3,65","17,87","11,13"
01/03/2014 04:00,"28,24","21,32","21,08","7,94","10,83","2,99","68,58","21,12","18,98","3,63","17,78","11,08"
01/03/2014 04:15,"27,5","21,57","21,35","8,63","10,07","1,25","68,58","21,11","18,87","3,63","17,86","11,12"
01/03/2014 04:30,"27,45","21,33","21,93","8,1","10,4","2,33","68,67","20,99","19,09","3,65","17,81","11,11"
01/03/2014 04:45,"27,59","21,34","21,37","8,33","10,18","1,82","68,68","21,19","19,03","3,63","17,83","11,12"
01/03/2014 05:00,"28,89","21,45","20,96","8,13","10,73","2,41","68,56","20,81","18,93","3,65","17,81","11,08"
01/03/2014 05:15,"26,7","21,04","21,48","8,26","10,05","1,8","68,89","21,08","19,14","3,63","17,78","11,07"
01/03/2014 05:30,"29,18","21,96","21,13","8,25","10,83","2,57","68,53","20,83","18,82","3,63","17,77","11,06"
01/03/2014 05:45,"28,31","21,48","21,37","8,36","10,59","1,69","68,51","21,15","18,78","3,63","17,84","11,07"
01/03/2014 06:00,"27,41","20,58","21,93","8,18","10,06","1,15","68,47","21,39","19,04","3,64","17,83","11,11"
01/03/2014 06:15,"29,49","22,36","20,35","8,18",11,"2,45","68,48","20,6","18,71","3,59","17,61","10,99"
01/03/2014 06:30,"27,18","21,26","21,56","8,29","10,06","1,86","68,71","20,67","19,1","3,59","17,67","11,04"
01/03/2014 06:45,"28,3","21,42","22,1","8,05","10,33","1,68","68,71","21,04","19,16","3,63","17,69","11,08"
01/03/2014 07:00,"28,63","22,01","20,65","8,27","10,64","1,82","68,55","20,38","18,85","3,58","17,57","10,99"
01/03/2014 07:15,"27,9","20,74","21,96","8,07","10,26","1,75","68,68","20,94","19,04","3,62","17,74","11,08"
01/03/2014 07:30,"29,09","21,41","20,68",8,"10,93","2,97","68,4","20,84","18,69","3,64","17,81","11,05"
01/03/2014 07:45,"27,69","21,44","20,81","8,07","10,61","2,63","68,26","20,72","18,73","3,59","17,71","10,99"
01/03/2014 08:00,"27,91","21,11","21,78","7,94","10,66","2,39","68,57","20,88","19,01","3,62","17,73","11,06"
01/03/2014 08:15,"27,5","21,29","21,25","8,51","9,95","1,28","68,55","20,69","18,87","3,59","17,71","11,02"
01/03/2014 08:30,"29,03","21,49","20,91","8,06","10,63","2,41","68,41","20,66","18,83","3,62","17,69","11,03"
01/03/2014 08:45,"26,97","21,29","21,46","8,41","9,8","1,18","68,53","20,68","18,89","3,61","17,74","11,05"
01/03/2014 09:00,"28,98","21,58","20,94","7,98","10,85","3,05","68,39","20,85","18,76","3,58","17,7","11,03"
01/03/2014 09:15,"28,49","21,63","21,23","7,83","11,02","2,49","68,45","21,09","18,83","3,62","17,77","11,09"
01/03/2014 09:30,"28,06","21,7","20,91","8,33","10,34","1,81","68,54","20,96","18,83","3,61","17,74","11,02"
01/03/2014 09:45,"28,24","21,77","20,66","8,13","10,64","2,48","68,36","20,69","18,75","3,59","17,61","10,99"
01/03/2014 10:00,"28,56","21,46","21,48","8,11","10,68","1,84","68,39","21,24","18,82","3,63","17,83","11,06"
01/03/2014 10:15,"27,89","21,57","20,9","8,41","10,36","1,94","68,33","21,05","18,72","3,61","17,79","11,05"
